"character","ascension","card","cardId","eloRating","peakRating","gamesPlayed","wins","losses","winRate"
"Defect",5,"Energy Surge","CARD.ENERGY_SURGE",1525.2,1525.2,1,1,0,100.0
"Defect",5,"Machine Learning","CARD.MACHINE_LEARNING",1525.2,1525.2,1,1,0,100.0
"Defect",5,"Genetic Algorithm","CARD.GENETIC_ALGORITHM",1525.2,1525.2,1,1,0,100.0
"Defect",5,"Helix Drill","CARD.HELIX_DRILL",1525.2,1525.2,1,1,0,100.0
"Defect",10,"Echo Form","CARD.ECHO_FORM",1525.2,1525.2,1,1,0,100.0
"Defect",10,"Chill","CARD.CHILL",1525.2,1525.2,1,1,0,100.0
"Defect",10,"Multi Cast","CARD.MULTI_CAST",1525.2,1525.2,1,1,0,100.0
"Defect",10,"Supercritical","CARD.SUPERCRITICAL",1525.2,1525.2,1,1,0,100.0
"Defect",10,"Capacitor","CARD.CAPACITOR",1525.2,1525.2,1,1,0,100.0
"Regent",4,"Falling Star","CARD.FALLING_STAR",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Venerate","CARD.VENERATE",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Greed","CARD.GREED",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Patter","CARD.PATTER",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Astral Pulse","CARD.ASTRAL_PULSE",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Cosmic Indifference","CARD.COSMIC_INDIFFERENCE",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Crash Landing","CARD.CRASH_LANDING",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Guiding Star","CARD.GUIDING_STAR",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Hidden Cache","CARD.HIDDEN_CACHE",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Heirloom Hammer","CARD.HEIRLOOM_HAMMER",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Glow","CARD.GLOW",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Pillar Of Creation","CARD.PILLAR_OF_CREATION",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Dark Shackles","CARD.DARK_SHACKLES",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Monologue","CARD.MONOLOGUE",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Comet","CARD.COMET",1524.2,1524.2,1,1,0,100.0
"Regent",4,"Collision Course","CARD.COLLISION_COURSE",1524.2,1524.2,1,1,0,100.0
"Defect",7,"Glacier","CARD.GLACIER",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Compact","CARD.COMPACT",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Hotfix","CARD.HOTFIX",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Gunk Up","CARD.GUNK_UP",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Ultimate Strike","CARD.ULTIMATE_STRIKE",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Double Energy","CARD.DOUBLE_ENERGY",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Apotheosis","CARD.APOTHEOSIS",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Coolheaded","CARD.COOLHEADED",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Uproar","CARD.UPROAR",1523.6,1523.6,1,1,0,100.0
"Defect",7,"Finesse","CARD.FINESSE",1523.6,1523.6,1,1,0,100.0
"Defect",4,"Echo Form","CARD.ECHO_FORM",1523.5,1523.5,5,3,2,60.0
"Defect",7,"Greed","CARD.GREED",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Ball Lightning","CARD.BALL_LIGHTNING",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Refract","CARD.REFRACT",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Beam Cell","CARD.BEAM_CELL",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Tracking","CARD.TRACKING",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Strangle","CARD.STRANGLE",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Backflip","CARD.BACKFLIP",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Rocket Punch","CARD.ROCKET_PUNCH",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Darkness","CARD.DARKNESS",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Charge Battery","CARD.CHARGE_BATTERY",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Sunder","CARD.SUNDER",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Machine Learning","CARD.MACHINE_LEARNING",1522.7,1522.7,1,1,0,100.0
"Defect",7,"Lightning Rod","CARD.LIGHTNING_ROD",1522.7,1522.7,1,1,0,100.0
"Defect",10,"Compact","CARD.COMPACT",1522.4,1522.4,3,2,1,66.7
"Defect",2,"Coolheaded","CARD.COOLHEADED",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Bulk Up","CARD.BULK_UP",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Genetic Algorithm","CARD.GENETIC_ALGORITHM",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Iteration","CARD.ITERATION",1522.3,1522.3,1,1,0,100.0
